Time;X;Y;Z;Vx;Vy;Vz;Roll;Pitch;Yaw;pRight.wRight;pRight.wUp;pRight.wForward;pUp.wRight;pUp.wUp;pUp.wForward;pForward.wRight;pForward.wUp;pForward.wForward;ScalarRoll;ScalarPitch;ScalarYaw;InputAccelerate;InputRoll;InputPitch;InputRoll
13.3934;1282.466;223.8531;786.2075;91.20033;13.76355;63.74406;1.222533;10.0468;55.06895;0.5755111;-0.02100586;-0.8175241;-0.130776;0.9844415;-0.1173569;0.8072699;0.1744527;0.5638099;0.9844415;0.1744527;0.5638099;1;0;0;0
13.4101;1283.99;224.083;787.272;91.20086;13.76458;63.74308;1.222533;10.04684;55.06902;0.5755103;-0.02100632;-0.8175249;-0.1307762;0.9844414;-0.1173574;0.8072706;0.1744532;0.563809;0.9844416;0.1744532;0.563809;1;0;0;0
13.4268;1285.513;224.3129;788.3365;91.20137;13.76558;63.74213;1.222373;10.04686;55.06908;0.5755094;-0.02100677;-0.8175254;-0.1307765;0.9844413;-0.1173579;0.8072711;0.1744537;0.563808;0.9844414;0.1744537;0.563808;1;0;0;0
13.4435;1287.036;224.5428;789.4009;91.20187;13.76655;63.74121;1.222533;10.0469;55.06914;0.5755086;-0.0210072;-0.817526;-0.1307769;0.9844412;-0.1173584;0.8072716;0.1744542;0.5638071;0.9844413;0.1744542;0.5638071;1;0;0;0
13.4602;1288.559;224.7727;790.4653;91.20235;13.7675;63.7403;1.222373;10.04692;55.06919;0.5755079;-0.0210076;-0.8175264;-0.1307773;0.984441;-0.117359;0.807272;0.1744549;0.5638063;0.9844412;0.1744549;0.5638063;1;0;0;0
13.4769;1290.082;225.0026;791.5297;91.20283;13.76843;63.73942;1.222533;10.04698;55.06924;0.5755072;-0.02100795;-0.8175269;-0.1307778;0.9844409;-0.1173596;0.8072724;0.1744557;0.5638055;0.984441;0.1744557;0.5638055;1;0;0;0
13.4936;1291.605;225.2326;792.5943;91.20329;13.76933;63.73856;1.222694;10.04702;55.06926;0.575507;-0.02100807;-0.817527;-0.1307785;0.9844407;-0.1173602;0.8072724;0.1744566;0.5638052;0.9844408;0.1744566;0.5638052;1;0;0;0
13.5103;1293.128;225.4625;793.6586;91.20374;13.77021;63.73773;1.222533;10.04708;55.06929;0.5755067;-0.02100823;-0.8175273;-0.1307792;0.9844406;-0.1173609;0.8072726;0.1744575;0.5638047;0.9844408;0.1744575;0.5638047;1;0;0;0
13.527;1294.651;225.6925;794.7231;91.20418;13.77107;63.73692;1.222533;10.04714;55.06929;0.5755067;-0.02100836;-0.8175272;-0.1307798;0.9844404;-0.1173614;0.8072723;0.1744584;0.5638046;0.9844404;0.1744584;0.5638046;1;0;0;0
13.5437;1296.174;225.9225;795.7874;91.20461;13.77191;63.73613;1.222533;10.04722;55.06932;0.5755063;-0.02100853;-0.8175275;-0.1307806;0.9844403;-0.1173621;0.8072726;0.1744593;0.5638041;0.9844404;0.1744593;0.5638041;1;0;0;0
