Time;X;Y;Z;Vx;Vy;Vz;Roll;Pitch;Yaw;pRight.wRight;pRight.wUp;pRight.wForward;pUp.wRight;pUp.wUp;pUp.wForward;pForward.wRight;pForward.wUp;pForward.wForward;ScalarRoll;ScalarPitch;ScalarYaw;InputAccelerate;InputRoll;InputPitch;InputRoll
13.0093;1326.282;129.713;813.0501;88.72096;-0.4563159;62.06538;-0.03426402;3.206501;55.02515;0.5731913;0.000556497;-0.8194214;-0.04615314;0.9984342;-0.0316064;0.8181208;0.05593538;0.5723195;0.9984343;0.05593538;0.5723195;1;0;0;0
13.026;1327.767;129.7058;814.0888;88.90839;-0.4327835;62.1965;-0.02797646;3.206562;55.0251;0.5731919;0.000556652;-0.8194211;-0.04615381;0.9984342;-0.03160673;0.8181204;0.05593612;0.5723201;0.9984343;0.05593612;0.5723201;1;0;0;0
13.0427;1329.254;129.6989;815.1296;89.08578;-0.4098541;62.32058;-0.02797646;3.206562;55.02507;0.5731924;0.000556793;-0.8194208;-0.04615445;0.9984341;-0.03160704;0.8181201;0.05593682;0.5723205;0.9984343;0.05593682;0.5723205;1;0;0;0
13.0594;1330.745;129.6925;816.1723;89.25365;-0.3875155;62.43801;-0.02797646;3.206623;55.02505;0.5731926;0.000556868;-0.8194206;-0.046155;0.9984341;-0.03160735;0.8181199;0.05593745;0.5723207;0.9984342;0.05593745;0.5723207;1;0;0;0
13.0761;1332.238;129.6864;817.217;89.41249;-0.3657556;62.54913;-0.02797646;3.206684;55.02505;0.5731927;0.000556899;-0.8194205;-0.04615553;0.9984341;-0.03160769;0.8181198;0.05593808;0.5723208;0.9984342;0.05593808;0.5723208;1;0;0;0
13.0928;1333.734;129.6806;818.2632;89.56277;-0.3445621;62.65425;-0.02797646;3.206745;55.02505;0.5731926;0.000556877;-0.8194206;-0.046156;0.9984341;-0.03160805;0.8181198;0.05593868;0.5723207;0.9984342;0.05593868;0.5723207;1;0;0;0
13.1095;1335.232;129.6752;819.3112;89.70493;-0.3239227;62.75371;-0.02797646;3.206745;55.02505;0.5731927;0.000556871;-0.8194205;-0.0461565;0.998434;-0.0316084;0.8181197;0.05593929;0.5723208;0.9984341;0.05593929;0.5723208;1;0;0;0
13.1262;1336.732;129.6701;820.3608;89.83942;-0.3038251;62.84778;-0.02797646;3.206806;55.02508;0.5731922;0.000556754;-0.8194208;-0.04615693;0.998434;-0.03160881;0.81812;0.05593987;0.5723203;0.9984341;0.05593987;0.5723203;1;0;0;0
13.1429;1338.235;129.6654;821.4119;89.96661;-0.2842571;62.93676;-0.03426402;3.206806;55.0251;0.5731919;0.000556668;-0.819421;-0.04615744;0.9984339;-0.03160924;0.8181202;0.05594054;0.57232;0.9984341;0.05594054;0.57232;1;0;0;0
13.1596;1339.739;129.6609;822.4642;90.08691;-0.2652063;63.02092;-0.02797646;3.206867;55.02512;0.5731916;0.000556571;-0.8194212;-0.04615798;0.9984339;-0.03160971;0.8181203;0.05594125;0.5723196;0.9984339;0.05594125;0.5723196;1;0;0;0
13.1763;1341.246;129.6568;823.5181;90.20068;-0.2466608;63.1005;-0.02797646;3.206867;55.02512;0.5731916;0.00055656;-0.8194212;-0.04615858;0.9984339;-0.03161015;0.8181203;0.05594198;0.5723196;0.9984339;0.05594198;0.5723196;1;0;0;0
13.193;1342.754;129.653;824.5731;90.30827;-0.2286084;63.17576;-0.02797646;3.206928;55.02512;0.5731916;0.000556525;-0.8194212;-0.04615915;0.9984338;-0.03161059;0.8181202;0.05594271;0.5723195;0.9984338;0.05594271;0.5723195;1;0;0;0
13.2097;1344.264;129.6495;825.6293;90.41;-0.2110375;63.24692;-0.02797646;3.206989;55.02517;0.573191;0.000556406;-0.8194216;-0.04615969;0.9984338;-0.03161107;0.8181207;0.05594343;0.572319;0.9984339;0.05594343;0.572319;1;0;0;0
13.2264;1345.775;129.6463;826.6866;90.50619;-0.1939364;63.3142;-0.02797646;3.20705;55.02518;0.5731908;0.000556322;-0.8194218;-0.04616026;0.9984338;-0.03161155;0.8181208;0.05594417;0.5723187;0.9984339;0.05594417;0.5723187;1;0;0;0
13.2431;1347.288;129.6433;827.7452;90.59712;-0.1772938;63.3778;-0.02797646;3.20705;55.02517;0.573191;0.000556355;-0.8194216;-0.04616089;0.9984337;-0.03161196;0.8181206;0.05594493;0.5723189;0.9984338;0.05594493;0.5723189;1;0;0;0
13.2598;1348.802;129.6406;828.8044;90.68309;-0.1610983;63.43793;-0.03426402;3.207111;55.02515;0.5731912;0.000556406;-0.8194215;-0.0461616;0.9984336;-0.03161241;0.8181205;0.05594576;0.572319;0.9984338;0.05594576;0.572319;1;0;0;0
13.2765;1350.318;129.6382;829.8647;90.76436;-0.1453386;63.49478;-0.02797646;3.207172;55.02513;0.5731915;0.000556501;-0.8194213;-0.04616234;0.9984336;-0.03161285;0.8181201;0.05594663;0.5723193;0.9984336;0.05594663;0.5723193;1;0;0;0
13.2932;1351.835;129.636;830.9261;90.84118;-0.1300037;63.54852;-0.02797646;3.207172;55.02509;0.573192;0.000556646;-0.8194209;-0.04616304;0.9984336;-0.0316132;0.8181198;0.05594739;0.5723198;0.9984336;0.05594739;0.5723198;1;0;0;0
13.3099;1353.353;129.6341;831.9883;90.91379;-0.1150832;63.59931;-0.02797646;3.207233;55.02504;0.5731927;0.000556851;-0.8194205;-0.04616375;0.9984335;-0.0316135;0.8181193;0.05594814;0.5723205;0.9984336;0.05594814;0.5723205;1;0;0;0
13.3266;1354.873;129.6324;833.0511;90.98242;-0.1005667;63.64732;-0.02797646;3.207294;55.02502;0.573193;0.000556959;-0.8194203;-0.04616441;0.9984335;-0.03161386;0.818119;0.05594889;0.5723208;0.9984336;0.05594889;0.5723208;1;0;0;0
13.3433;1356.393;129.631;834.1149;91.04729;-0.08644389;63.6927;-0.02797646;3.207355;55.02502;0.5731931;0.000556983;-0.8194202;-0.04616502;0.9984334;-0.03161427;0.8181189;0.05594964;0.5723209;0.9984336;0.05594964;0.5723209;1;0;0;0
13.36;1357.915;129.6298;835.1791;91.10859;-0.07270458;63.73559;-0.03426402;3.207355;55.02503;0.5731929;0.000556914;-0.8194203;-0.04616559;0.9984334;-0.03161473;0.818119;0.05595036;0.5723206;0.9984334;0.05595036;0.5723206;1;0;0;0
13.3767;1359.437;129.6288;836.2443;91.16653;-0.059339;63.77612;-0.02797646;3.207416;55.02505;0.5731925;0.000556815;-0.8194205;-0.04616619;0.9984334;-0.03161523;0.8181192;0.05595114;0.5723203;0.9984334;0.05595114;0.5723203;1;0;0;0
13.3934;1360.961;129.628;837.3099;91.22128;-0.04633725;63.81442;-0.02797646;3.207477;55.02512;0.5731916;0.00055656;-0.8194214;-0.04616673;0.9984333;-0.03161585;0.8181199;0.05595195;0.5723193;0.9984335;0.05595195;0.5723193;1;0;0;0
13.4101;1362.485;129.6274;838.3762;91.27302;-0.03368974;63.85061;-0.02797646;3.207477;55.02517;0.573191;0.000556381;-0.8194218;-0.04616722;0.9984333;-0.03161637;0.8181204;0.05595264;0.5723187;0.9984336;0.05595264;0.5723187;1;0;0;0
13.4268;1364.01;129.6271;839.4431;91.32191;-0.02138752;63.88481;-0.03426402;3.207538;55.02519;0.5731906;0.000556268;-0.819422;-0.0461677;0.9984332;-0.03161681;0.8181206;0.05595328;0.5723183;0.9984335;0.05595328;0.5723183;1;0;0;0
13.4435;1365.536;129.6269;840.5105;91.36812;-0.009421691;63.91712;-0.02797646;3.207599;55.02522;0.5731902;0.000556143;-0.8194222;-0.04616813;0.9984332;-0.03161722;0.8181208;0.05595387;0.5723178;0.9984334;0.05595387;0.5723178;1;0;0;0
13.4602;1367.063;129.627;841.5785;91.41177;0.002216533;63.94765;-0.02797646;3.207599;55.02526;0.5731896;0.000555962;-0.8194227;-0.04616849;0.9984332;-0.03161764;0.8181212;0.0559544;0.5723172;0.9984334;0.0559544;0.5723172;1;0;0;0
13.4769;1368.59;129.6272;842.6468;91.45303;0.01353563;63.97649;-0.02797646;3.207599;55.02531;0.5731889;0.000555772;-0.8194232;-0.04616884;0.9984331;-0.03161807;0.8181217;0.05595494;0.5723165;0.9984334;0.05595494;0.5723165;1;0;0;0
13.4936;1370.118;129.6276;843.7158;91.492;0.02454416;64.00374;-0.02797646;3.20766;55.02536;0.5731882;0.000555577;-0.8194236;-0.04616918;0.9984331;-0.03161848;0.8181221;0.05595545;0.5723158;0.9984332;0.05595545;0.5723158;1;0;0;0
13.5103;1371.646;129.6282;844.785;91.52883;0.03525031;64.02948;-0.02797646;3.20766;55.02539;0.5731878;0.000555461;-0.8194239;-0.04616957;0.9984331;-0.03161886;0.8181223;0.05595599;0.5723153;0.9984331;0.05595599;0.5723153;1;0;0;0
13.527;1373.175;129.629;845.8547;91.56363;0.0456623;64.0538;-0.03426402;3.207721;55.0254;0.5731877;0.000555435;-0.819424;-0.04617004;0.9984331;-0.03161921;0.8181225;0.05595658;0.5723152;0.9984332;0.05595658;0.5723152;1;0;0;0
