Time;X;Y;Z;Vx;Vy;Vz;Roll;Pitch;Yaw;pRight.wRight;pRight.wUp;pRight.wForward;pUp.wRight;pUp.wUp;pUp.wForward;pForward.wRight;pForward.wUp;pForward.wForward;ScalarRoll;ScalarPitch;ScalarYaw;InputAccelerate;InputRoll;InputPitch;InputRoll
13.193;1155.278;89.40446;726.2804;79.99341;-0.6434998;79.09483;2.504365;2.672616;45.31495;0.7039862;-0.04364911;-0.7088711;-0.002392603;0.9979582;-0.06382592;0.7102097;0.04662862;0.7024444;0.9979582;0.04662862;0.7024444;1;0;0;0
13.2097;1156.614;89.39372;727.6012;79.99307;-0.6434287;79.09517;2.504287;2.672689;45.31469;0.7039895;-0.04364805;-0.708868;-0.002393514;0.9979582;-0.06382563;0.7102064;0.04662926;0.7024476;0.9979584;0.04662926;0.7024476;1;0;0;0
13.2264;1157.95;89.38298;728.9221;79.99274;-0.6433576;79.0955;2.504287;2.672689;45.31441;0.703993;-0.04364693;-0.7088645;-0.002394469;0.9979582;-0.06382534;0.710203;0.04662995;0.7024511;0.9979584;0.04662995;0.7024511;1;0;0;0
13.2431;1159.286;89.37224;730.243;79.9924;-0.6432863;79.09584;2.504209;2.672763;45.31409;0.7039969;-0.04364568;-0.7088608;-0.002395485;0.9979582;-0.06382494;0.7101991;0.04663063;0.702455;0.9979584;0.04663063;0.702455;1;0;0;0
13.2598;1160.622;89.3615;731.5641;79.99207;-0.6432149;79.09618;2.504131;2.672763;45.31379;0.7040008;-0.04364443;-0.7088571;-0.00239652;0.9979582;-0.06382456;0.7101953;0.04663134;0.7024588;0.9979585;0.04663134;0.7024588;1;0;1;0
13.2765;1161.957;89.41183;732.881;79.98423;2.478367;78.89689;2.504444;2.862591;45.32179;0.7040045;-0.0436431;-0.7088534;-0.004753016;0.9977981;-0.06615354;0.7101797;0.04994159;0.702247;0.9977983;0.04994159;0.702247;1;0;1;0
13.2932;1163.293;89.52106;734.1941;79.9716;5.516431;78.69798;2.505225;3.2261;45.33746;0.7040077;-0.04364146;-0.7088503;-0.009263212;0.997461;-0.07061018;0.710132;0.05627635;0.701816;0.9974611;0.05627635;0.701816;1;0;1;0
13.3099;1164.627;89.68736;735.5031;79.94591;8.486713;78.49026;2.506475;3.748574;45.3601;0.7040109;-0.04363866;-0.7088473;-0.01574546;0.9969059;-0.07701043;0.7100148;0.06537732;0.7011455;0.9969062;0.06537732;0.7011455;1;0;1;0
13.3266;1165.961;89.90919;736.8076;79.8999;11.40244;78.26575;2.508504;4.416679;45.38919;0.7040138;-0.0436364;-0.7088445;-0.02403301;0.996075;-0.08518753;0.7097796;0.07700887;0.7002019;0.9960752;0.07700887;0.7002019;1;0;1;0
13.3433;1167.293;90.18523;738.1072;79.82713;14.27463;78.01736;2.511234;5.218568;45.42424;0.7040166;-0.04363457;-0.7088419;-0.03397525;0.9948985;-0.09498752;0.7093704;0.09095588;0.6989426;0.9948987;0.09095588;0.6989426;1;0;1;0
13.36;1168.623;90.51438;739.401;79.7218;17.11238;77.73875;2.515128;6.143536;45.4648;0.7040194;-0.04363163;-0.7088391;-0.04543471;0.9932991;-0.106267;0.7087259;0.1070199;0.6973194;0.9932991;0.1070199;0.6973194;1;0;1;0
13.3767;1169.949;90.89568;740.6885;79.57867;19.92303;77.4243;2.520181;7.181684;45.5105;0.7040223;-0.04362773;-0.7088366;-0.05828223;0.9911951;-0.1188928;0.7077823;0.1250158;0.6952807;0.9911951;0.1250158;0.6952807;1;0;1;0
13.3934;1171.271;91.32832;741.9688;79.39296;22.71243;77.06889;2.526929;8.323999;45.56105;0.7040253;-0.04362274;-0.7088339;-0.07239756;0.9885032;-0.1327404;0.7064751;0.1447705;0.692773;0.9885033;0.1447705;0.692773;1;0;1;0
13.4101;1172.589;91.81156;743.2408;79.16033;25.48502;76.66795;2.535127;9.562339;45.61622;0.7040278;-0.04361624;-0.7088319;-0.08766763;0.9851404;-0.1476917;0.7047406;0.1661207;0.6897425;0.9851406;0.1661207;0.6897425;1;0;1;0
13.4268;1173.9;92.34476;744.504;78.87682;28.24403;76.21735;2.545221;10.8892;45.67575;0.7040305;-0.04360908;-0.7088296;-0.1039835;0.9810255;-0.1636349;0.702516;0.1889105;0.6861373;0.9810257;0.1889105;0.6861373;1;0;1;0
13.4435;1175.204;92.92735;745.757;78.5388;30.99156;75.71336;2.557725;12.29775;45.73956;0.7040329;-0.0436014;-0.7088277;-0.1212425;0.9760806;-0.180463;0.6997414;0.2129919;0.6819065;0.9760807;0.2129919;0.6819065;1;0;1;0
13.4602;1176.5;93.55873;746.9988;78.14303;33.72875;75.15269;2.572529;13.7816;45.80753;0.704035;-0.04359256;-0.7088262;-0.1393454;0.970232;-0.1980725;0.6963603;0.2382216;0.6770029;0.9702322;0.2382216;0.6770029;1;0;1;0
13.4769;1177.787;94.23839;748.2283;77.68656;36.45583;74.5324;2.590272;15.33493;45.87962;0.7040368;-0.04358339;-0.7088249;-0.1581954;0.963411;-0.216364;0.6923196;0.2644611;0.6713822;0.9634112;0.2644611;0.6713822;1;0;1;0
13.4936;1179.063;94.96577;749.4443;77.1668;39.17224;73.84995;2.610895;16.95235;45.9558;0.7040387;-0.04357381;-0.7088236;-0.1776994;0.9555546;-0.2352411;0.68757;0.2915764;0.6650044;0.9555548;0.2915764;0.6650044;1;0;1;0
13.5103;1180.326;95.74034;750.6458;76.58147;41.87675;73.10315;2.634925;18.62887;46.03616;0.7040405;-0.04356365;-0.7088225;-0.1977664;0.9466057;-0.2546099;0.6820672;0.3194369;0.6578333;0.9466058;0.3194369;0.6578333;1;0;1;0
13.527;1181.577;96.56151;751.8315;75.9286;44.56749;72.29016;2.66271;20.35982;46.12081;0.7040418;-0.04355327;-0.7088218;-0.2183069;0.936514;-0.2743785;0.6757716;0.3479146;0.6498371;0.9365141;0.3479146;0.6498371;1;0;1;0
13.5437;1182.814;97.42867;753.0001;75.20655;47.24207;71.40951;2.694499;22.14086;46.20993;0.7040427;-0.043543;-0.7088217;-0.2392335;0.9252361;-0.294458;0.668649;0.3768848;0.6409888;0.9252363;0.3768848;0.6409888;1;0;1;0
13.5604;1184.035;98.34118;754.1506;74.41402;49.89763;70.46005;2.730723;23.96791;46.30376;0.7040433;-0.04353371;-0.7088216;-0.2604595;0.9127356;-0.3147613;0.6606694;0.4062248;0.6312665;0.9127357;0.4062248;0.6312665;1;0;1;0
13.5771;1185.24;99.29834;755.2816;73.55002;52.53094;69.441;2.771775;25.83723;46.40249;0.7040439;-0.04352339;-0.7088216;-0.2819029;0.8989828;-0.3352025;0.6518076;0.4358161;0.6206539;0.8989829;0.4358161;0.6206539;1;0;1;0
13.5938;1186.426;100.2994;756.392;72.61385;55.13846;68.35191;2.81814;27.74526;46.50654;0.7040443;-0.04351346;-0.7088218;-0.3034801;0.8839558;-0.3556994;0.6420448;0.4655414;0.6091386;0.883956;0.4655414;0.6091386;1;0;1;0
13.6105;1187.593;101.3436;757.4806;71.60516;57.71637;67.19261;2.870445;29.68864;46.61635;0.7040444;-0.04350413;-0.7088223;-0.3251105;0.8676398;-0.3761707;0.6313673;0.4952864;0.5967132;0.8676398;0.4952864;0.5967132;1;0;1;0
13.6272;1188.74;102.43;758.5461;70.52386;60.26067;65.9633;2.929241;31.66423;46.73243;0.7040443;-0.04349524;-0.708823;-0.3467156;0.850027;-0.3965381;0.6197661;0.5249404;0.5833761;0.8500271;0.5249404;0.5833761;1;0;1;0
13.6439;1189.864;103.5577;759.5876;69.37019;62.76724;64.66444;2.995129;33.66907;46.8554;0.7040437;-0.0434864;-0.708824;-0.3682192;0.8311166;-0.416725;0.6072373;0.5543953;0.5691299;0.8311167;0.5543953;0.5691299;1;0;1;0
13.6606;1190.966;104.7258;760.6038;68.14465;65.23185;63.29681;3.06899;35.70037;46.98596;0.7040429;-0.04347725;-0.7088253;-0.3895468;0.8109152;-0.4366578;0.5937819;0.5835464;0.5539827;0.8109153;0.5835464;0.5539827;1;0;1;0
13.6773;1192.043;105.9332;761.5935;66.84805;67.65025;61.86142;3.151445;37.75546;47.12494;0.7040417;-0.0434663;-0.7088273;-0.4106271;0.7894355;-0.4562642;0.5794056;0.6122927;0.5379471;0.7894357;0.6122927;0.5379471;1;0;1;0
13.694;1193.095;107.1788;762.5559;65.48139;70.0182;60.3596;3.243832;39.83184;47.2734;0.7040398;-0.04345429;-0.7088298;-0.43139;0.7666972;-0.4754768;0.5641194;0.6405367;0.5210396;0.7666973;0.6405367;0.5210396;1;0;1;0
13.7107;1194.122;108.4613;763.4897;64.04598;72.3315;58.79286;3.347377;41.92707;47.43256;0.7040375;-0.04344182;-0.7088329;-0.4517674;0.7427266;-0.4942303;0.5479394;0.6681842;0.5032818;0.7427267;0.6681842;0.5032818;1;0;1;0
13.7274;1195.12;109.7797;764.3943;62.54332;74.58604;57.16297;3.463511;44.03894;47.60391;0.7040347;-0.04342911;-0.7088366;-0.4716956;0.7175545;-0.5124637;0.5308847;0.6951473;0.4846979;0.7175547;0.6951473;0.4846979;1;0;1;0
13.7441;1196.09;111.1326;765.2683;60.97514;76.77782;55.47188;3.59423;46.1652;47.78922;0.7040322;-0.04341762;-0.7088396;-0.4911111;0.6912192;-0.5301188;0.51298;0.7213397;0.4653177;0.6912193;0.7213397;0.4653177;1;0;1;0
13.7608;1197.03;112.5188;766.1111;59.34337;78.90297;53.72174;3.741568;48.30378;47.9907;0.7040296;-0.04340687;-0.7088429;-0.5099566;0.6637633;-0.5471404;0.4942537;0.7466822;0.4451734;0.6637635;0.7466822;0.4451734;1;0;1;0
13.7775;1197.94;113.9367;766.9218;57.65011;80.95782;51.91486;3.908108;50.45277;48.21087;0.7040271;-0.0433962;-0.7088461;-0.5281781;0.6352335;-0.563477;0.4747356;0.7711;0.4243006;0.6352336;0.7711;0.4243006;1;0;1;0
13.7942;1198.819;115.385;767.6993;55.89761;82.93885;50.05369;4.097203;52.61031;48.45303;0.704024;-0.04338533;-0.7088499;-0.5457252;0.6056811;-0.5790808;0.4544607;0.794524;0.4027375;0.6056812;0.794524;0.4027375;1;0;1;0
