time;x;y;z;speed x;speed y;speed z;roll;pitch;yaw;pX|X;pX|Y;pX|Z;pY|X;pY|Y;pY|Z;pZ|X;pZ|Y;pZ|Z;roll Scalar;pitch Scalar;yaw Scalar;accelerate;roll Input;pitch Input;yaw Input
17,3012;1882,155;100,1756;2,957764;112,4248;1,571981;0,1338933;-0,844183;3,841552;89,94109;4,12E-05;0,01469953;-0,999892;-0,0670047;0,9976449;0,01466374;0,9977527;0,06699686;0,001026;0,997645;0,06699686;0,001026;1;0;0;0
17,3179;1884,032;100,2019;2,959961;112,4247;1,574254;0,1333851;-0,8448781;3,841654;89,94102;4,13E-05;0,01471361;-0,9998919;-0,0670068;0,9976445;0,01467776;0,9977527;0,06699894;0,001027148;0,997645;0,06699894;0,001027148;1;0;0;0
17,3346;1885,91;100,2282;2,962158;112,4247;1,576469;0,1328946;-0,8455727;3,841806;89,94095;4,16E-05;0,01472652;-0,9998918;-0,06700888;0,9976442;0,01469062;0,9977525;0,067001;0,001028265;0,9976446;0,067001;0,001028265;1;0;0;0
17,3513;1887,787;100,2546;2,964355;112,4247;1,578629;0,1324213;-0,8462666;3,841857;89,94086;4,22E-05;0,01473839;-0,9998915;-0,06701096;0,9976439;0,01470242;0,9977524;0,06700306;0,001029713;0,9976442;0,06700306;0,001029713;1;0;0;0
17,368;1889,665;100,281;2,966553;112,4246;1,580736;0,1319656;-0,8469599;3,84201;89,94079;4,28E-05;0,01474931;-0,9998913;-0,06701305;0,9976436;0,01471328;0,9977522;0,06700513;0,001031136;0,9976439;0,06700513;0,001031136;1;0;0;0
17,3847;1891,542;100,3074;2,96875;112,4246;1,582791;0,1315271;-0,8474219;3,842112;89,94073;4,32E-05;0,01475929;-0,9998912;-0,06701514;0,9976434;0,01472321;0,9977521;0,0670072;0,001032176;0,9976436;0,0670072;0,001032176;1;0;0;0
17,4014;1893,42;100,3339;2,970947;112,4246;1,584795;0,131104;-0,8481144;3,842214;89,94069;4,33E-05;0,01476839;-0,999891;-0,06701726;0,9976431;0,01473228;0,997752;0,06700931;0,001032894;0,9976433;0,06700931;0,001032894;1;0;0;0
17,4181;1895,297;100,3604;2,973145;112,4246;1,58675;0,1306949;-0,8485757;3,842367;89,94067;4,31E-05;0,01477668;-0,999891;-0,0670194;0,9976428;0,01474055;0,997752;0,06701144;0,001033353;0,9976433;0,06701144;0,001033353;1;0;0;0
17,4348;1897,174;100,3869;2,975342;112,4245;1,588657;0,1302986;-0,8490367;3,842469;89,94066;4,27E-05;0,01478422;-0,9998909;-0,06702151;0,9976425;0,0147481;0,9977517;0,06701355;0,001033495;0,9976429;0,06701355;0,001033495;1;0;0;0
17,4515;1899,052;100,4135;2,977539;112,4245;1,590518;0,1299138;-0,8492672;3,842571;89,94061;4,29E-05;0,01479118;-0,9998907;-0,06702361;0,9976423;0,01475503;0,9977515;0,06701565;0,001034159;0,9976426;0,06701565;0,001034159;1;0;0;0
17,4682;1900,929;100,4401;2,979614;112,4245;1,592334;0,1295418;-0,8497278;3,842724;89,94059;4,29E-05;0,01479758;-0,9998907;-0,06702574;0,997642;0,01476142;0,9977515;0,06701776;0,001034568;0,9976426;0,06701776;0,001034568;1;0;0;0
17,4849;1902,807;100,4667;2,981812;112,4244;1,594106;0,1291813;-0,8499581;3,842826;89,94057;4,27E-05;0,01480342;-0,9998906;-0,06702787;0,9976418;0,01476725;0,9977513;0,06701989;0,001034844;0,9976422;0,06701989;0,001034844;1;0;0;0
17,5016;1904,684;100,4934;2,984009;112,4244;1,595835;0,1288318;-0,8504184;3,842979;89,94057;4,24E-05;0,01480873;-0,9998904;-0,06703;0,9976416;0,01477258;0,9977511;0,06702203;0,001034927;0,9976419;0,06702203;0,001034927;1;0;0;0
