Time;X;Y;Z;Vx;Vy;Vz;Roll;Pitch;Yaw;pRight.wRight;pRight.wUp;pRight.wForward;pUp.wRight;pUp.wUp;pUp.wForward;pForward.wRight;pForward.wUp;pForward.wForward;ScalarRoll;ScalarPitch;ScalarYaw;InputAccelerate;InputRoll;InputPitch;InputRoll
3,0561;84,89037;1,144977;0,005233765;107,4276;-0,000258081;0,00472604;0;1,980606;90,00174;-2,92E-05;-3,32E-05;-1;-0,03456077;0,9994026;-3,22E-05;0,9994029;0,03456077;-3,03E-05;0,9994031;0,03456077;-3,03E-05;1;0;0;0
3,0728;84,89037;1,144977;0,005233765;107,4276;-0,000258081;0,00472604;0;1,980606;90,00174;-2,92E-05;-3,32E-05;-1;-0,03456077;0,9994026;-3,22E-05;0,9994029;0,03456077;-3,03E-05;0,9994031;0,03456077;-3,03E-05;1;0;0;0
3,0895;84,89037;1,144977;0,005233765;107,4276;-0,000258081;0,00472604;0;1,980606;90,00174;-2,92E-05;-3,32E-05;-1;-0,03456077;0,9994026;-3,22E-05;0,9994029;0,03456077;-3,03E-05;0,9994031;0,03456077;-3,03E-05;1;0;0;0
3,1062;84,89037;1,144977;0,005233765;107,4276;-0,000258081;0,00472604;0;1,980606;90,00174;-2,92E-05;-3,32E-05;-1;-0,03456077;0,9994026;-3,22E-05;0,9994029;0,03456077;-3,03E-05;0,9994031;0,03456077;-3,03E-05;1;0;0;0
3,1229;84,89037;1,144977;0,005233765;107,4276;-0,000258081;0,00472604;0;1,980606;90,00174;-2,92E-05;-3,32E-05;-1;-0,03456077;0,9994026;-3,22E-05;0,9994029;0,03456077;-3,03E-05;0,9994031;0,03456077;-3,03E-05;1;0;0;0
3,1396;84,89037;1,144977;0,005233765;107,4276;-0,000258081;0,00472604;0;1,980606;90,00174;-2,92E-05;-3,32E-05;-1;-0,03456077;0,9994026;-3,22E-05;0,9994029;0,03456077;-3,03E-05;0,9994031;0,03456077;-3,03E-05;1;0;0;0
3,1563;84,89037;1,144977;0,005233765;107,4276;-0,000258081;0,00472604;0;1,980606;90,00174;-2,92E-05;-3,32E-05;-1;-0,03456077;0,9994026;-3,22E-05;0,9994029;0,03456077;-3,03E-05;0,9994031;0,03456077;-3,03E-05;1;0;0;0
3,173;84,89037;1,144977;0,005233765;107,4276;-0,000258081;0,00472604;0;1,980606;90,00174;-2,92E-05;-3,32E-05;-1;-0,03456077;0,9994026;-3,22E-05;0,9994029;0,03456077;-3,03E-05;0,9994031;0,03456077;-3,03E-05;1;0;0;0
3,1897;84,89037;1,144977;0,005233765;107,4276;-0,000258081;0,00472604;0;1,980606;90,00174;-2,92E-05;-3,32E-05;-1;-0,03456077;0,9994026;-3,22E-05;0,9994029;0,03456077;-3,03E-05;0,9994031;0,03456077;-3,03E-05;1;0;0;0
3,2064;84,89037;1,144977;0,005233765;107,4276;-0,000258081;0,00472604;0;1,980606;90,00174;-2,92E-05;-3,32E-05;-1;-0,03456077;0,9994026;-3,22E-05;0,9994029;0,03456077;-3,03E-05;0,9994031;0,03456077;-3,03E-05;1;0;0;0
3,2231;84,89037;1,144977;0,005233765;107,4276;-0,000258081;0,00472604;0;1,980606;90,00174;-2,92E-05;-3,32E-05;-1;-0,03456077;0,9994026;-3,22E-05;0,9994029;0,03456077;-3,03E-05;0,9994031;0,03456077;-3,03E-05;1;0;0;0
3,2398;84,89037;1,144977;0,005233765;107,4276;-0,000258081;0,00472604;0;1,980606;90,00174;-2,92E-05;-3,32E-05;-1;-0,03456077;0,9994026;-3,22E-05;0,9994029;0,03456077;-3,03E-05;0,9994031;0,03456077;-3,03E-05;1;0;0;0
3,2565;84,89037;1,144977;0,005233765;107,4276;-0,000258081;0,00472604;0;1,980606;90,00174;-2,92E-05;-3,32E-05;-1;-0,03456077;0,9994026;-3,22E-05;0,9994029;0,03456077;-3,03E-05;0,9994031;0,03456077;-3,03E-05;1;0;0;0
3,2732;84,89037;1,144977;0,005233765;107,4276;-0,000258081;0,00472604;0;1,980606;90,00174;-2,92E-05;-3,32E-05;-1;-0,03456077;0,9994026;-3,22E-05;0,9994029;0,03456077;-3,03E-05;0,9994031;0,03456077;-3,03E-05;1;0;0;0
3,2899;84,89037;1,144977;0,005233765;107,4276;-0,000258081;0,00472604;0;1,980606;90,00174;-2,92E-05;-3,32E-05;-1;-0,03456077;0,9994026;-3,22E-05;0,9994029;0,03456077;-3,03E-05;0,9994031;0,03456077;-3,03E-05;1;0;0;0
3,3066;84,89037;1,144977;0,005233765;107,4276;-0,000258081;0,00472604;0;1,980606;90,00174;-2,92E-05;-3,32E-05;-1;-0,03456077;0,9994026;-3,22E-05;0,9994029;0,03456077;-3,03E-05;0,9994031;0,03456077;-3,03E-05;1;0;0;0
3,3233;84,89037;1,144977;0,005233765;107,4276;-0,000258081;0,00472604;0;1,980606;90,00174;-2,92E-05;-3,32E-05;-1;-0,03456077;0,9994026;-3,22E-05;0,9994029;0,03456077;-3,03E-05;0,9994031;0,03456077;-3,03E-05;1;0;0;0
3,34;84,89037;1,144977;0,005233765;107,4276;-0,000258081;0,00472604;0;1,980606;90,00174;-2,92E-05;-3,32E-05;-1;-0,03456077;0,9994026;-3,22E-05;0,9994029;0,03456077;-3,03E-05;0,9994031;0,03456077;-3,03E-05;1;0;0;0
3,3567;84,89037;1,144977;0,005233765;107,4276;-0,000258081;0,00472604;0;1,980606;90,00174;-2,92E-05;-3,32E-05;-1;-0,03456077;0,9994026;-3,22E-05;0,9994029;0,03456077;-3,03E-05;0,9994031;0,03456077;-3,03E-05;1;0;0;0
3,3734;84,89037;1,144977;0,005233765;107,4276;-0,000258081;0,00472604;0;1,980606;90,00174;-2,92E-05;-3,32E-05;-1;-0,03456077;0,9994026;-3,22E-05;0,9994029;0,03456077;-3,03E-05;0,9994031;0,03456077;-3,03E-05;1;0;0;0
3,3901;84,89037;1,144977;0,005233765;107,4276;-0,000258081;0,00472604;0;1,980606;90,00174;-2,92E-05;-3,32E-05;-1;-0,03456077;0,9994026;-3,22E-05;0,9994029;0,03456077;-3,03E-05;0,9994031;0,03456077;-3,03E-05;1;0;0;0
3,4068;84,89037;1,144977;0,005233765;107,4276;-0,000258081;0,00472604;0;1,980606;90,00174;-2,92E-05;-3,32E-05;-1;-0,03456077;0,9994026;-3,22E-05;0,9994029;0,03456077;-3,03E-05;0,9994031;0,03456077;-3,03E-05;1;0;0;0
3,4235;84,89037;1,144977;0,005233765;107,4276;-0,000258081;0,00472604;0;1,980606;90,00174;-2,92E-05;-3,32E-05;-1;-0,03456077;0,9994026;-3,22E-05;0,9994029;0,03456077;-3,03E-05;0,9994031;0,03456077;-3,03E-05;1;0;0;0
3,4402;84,89037;1,144977;0,005233765;107,4276;-0,000258081;0,00472604;0;1,980606;90,00174;-2,92E-05;-3,32E-05;-1;-0,03456077;0,9994026;-3,22E-05;0,9994029;0,03456077;-3,03E-05;0,9994031;0,03456077;-3,03E-05;1;0;0;0
3,4569;84,89037;1,144977;0,005233765;107,4276;-0,000258081;0,00472604;0;1,980606;90,00174;-2,92E-05;-3,32E-05;-1;-0,03456077;0,9994026;-3,22E-05;0,9994029;0,03456077;-3,03E-05;0,9994031;0,03456077;-3,03E-05;1;0;0;0
3,4736;84,89037;1,144977;0,005233765;107,4276;-0,000258081;0,00472604;0;1,980606;90,00174;-2,92E-05;-3,32E-05;-1;-0,03456077;0,9994026;-3,22E-05;0,9994029;0,03456077;-3,03E-05;0,9994031;0,03456077;-3,03E-05;1;0;0;0
3,4903;84,89037;1,144977;0,005233765;107,4276;-0,000258081;0,00472604;0;1,980606;90,00174;-2,92E-05;-3,32E-05;-1;-0,03456077;0,9994026;-3,22E-05;0,9994029;0,03456077;-3,03E-05;0,9994031;0,03456077;-3,03E-05;1;0;0;0
3,507;84,89037;1,144977;0,005233765;107,4276;-0,000258081;0,00472604;0;1,980606;90,00174;-2,92E-05;-3,32E-05;-1;-0,03456077;0,9994026;-3,22E-05;0,9994029;0,03456077;-3,03E-05;0,9994031;0,03456077;-3,03E-05;1;0;0;0
3,5237;84,89037;1,144977;0,005233765;107,4276;-0,000258081;0,00472604;0;1,980606;90,00174;-2,92E-05;-3,32E-05;-1;-0,03456077;0,9994026;-3,22E-05;0,9994029;0,03456077;-3,03E-05;0,9994031;0,03456077;-3,03E-05;1;0;0;0
3,5404;84,89037;1,144977;0,005233765;107,4276;-0,000258081;0,00472604;0;1,980606;90,00174;-2,92E-05;-3,32E-05;-1;-0,03456077;0,9994026;-3,22E-05;0,9994029;0,03456077;-3,03E-05;0,9994031;0,03456077;-3,03E-05;1;0;0;0
3,5571;84,89037;1,144977;0,005233765;107,4276;-0,000258081;0,00472604;0;1,980606;90,00174;-2,92E-05;-3,32E-05;-1;-0,03456077;0,9994026;-3,22E-05;0,9994029;0,03456077;-3,03E-05;0,9994031;0,03456077;-3,03E-05;1;0;0;0
3,5738;84,89037;1,144977;0,005233765;107,4276;-0,000258081;0,00472604;0;1,980606;90,00174;-2,92E-05;-3,32E-05;-1;-0,03456077;0,9994026;-3,22E-05;0,9994029;0,03456077;-3,03E-05;0,9994031;0,03456077;-3,03E-05;1;0;0;0
3,5905;84,89037;1,144977;0,005233765;107,4276;-0,000258081;0,00472604;0;1,980606;90,00174;-2,92E-05;-3,32E-05;-1;-0,03456077;0,9994026;-3,22E-05;0,9994029;0,03456077;-3,03E-05;0,9994031;0,03456077;-3,03E-05;1;0;0;0
3,6072;84,89037;1,144977;0,005233765;107,4276;-0,000258081;0,00472604;0;1,980606;90,00174;-2,92E-05;-3,32E-05;-1;-0,03456077;0,9994026;-3,22E-05;0,9994029;0,03456077;-3,03E-05;0,9994031;0,03456077;-3,03E-05;1;0;0;0
3,6239;84,89037;1,144977;0,005233765;107,4276;-0,000258081;0,00472604;0;1,980606;90,00174;-2,92E-05;-3,32E-05;-1;-0,03456077;0,9994026;-3,22E-05;0,9994029;0,03456077;-3,03E-05;0,9994031;0,03456077;-3,03E-05;1;0;0;0
3,6406;84,89037;1,144977;0,005233765;107,4276;-0,000258081;0,00472604;0;1,980606;90,00174;-2,92E-05;-3,32E-05;-1;-0,03456077;0,9994026;-3,22E-05;0,9994029;0,03456077;-3,03E-05;0,9994031;0,03456077;-3,03E-05;1;0;0;0
3,6573;84,89037;1,144977;0,005233765;107,4276;-0,000258081;0,00472604;0;1,980606;90,00174;-2,92E-05;-3,32E-05;-1;-0,03456077;0,9994026;-3,22E-05;0,9994029;0,03456077;-3,03E-05;0,9994031;0,03456077;-3,03E-05;1;0;0;0
3,674;84,89037;1,144977;0,005233765;107,4276;-0,000258081;0,00472604;0;1,980606;90,00174;-2,92E-05;-3,32E-05;-1;-0,03456077;0,9994026;-3,22E-05;0,9994029;0,03456077;-3,03E-05;0,9994031;0,03456077;-3,03E-05;1;0;0;0
3,6907;84,89037;1,144977;0,005233765;107,4276;-0,000258081;0,00472604;0;1,980606;90,00174;-2,92E-05;-3,32E-05;-1;-0,03456077;0,9994026;-3,22E-05;0,9994029;0,03456077;-3,03E-05;0,9994031;0,03456077;-3,03E-05;1;0;0;0
3,7074;84,89037;1,144977;0,005233765;107,4276;-0,000258081;0,00472604;0;1,980606;90,00174;-2,92E-05;-3,32E-05;-1;-0,03456077;0,9994026;-3,22E-05;0,9994029;0,03456077;-3,03E-05;0,9994031;0,03456077;-3,03E-05;1;0;0;0
3,7241;84,89037;1,144977;0,005233765;107,4276;-0,000258081;0,00472604;0;1,980606;90,00174;-2,92E-05;-3,32E-05;-1;-0,03456077;0,9994026;-3,22E-05;0,9994029;0,03456077;-3,03E-05;0,9994031;0,03456077;-3,03E-05;1;0;0;0
